track_id,track_name,artist_name,location,listeners,genre,Country,Capital,Latitude,Longitude,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,Spectral Contrast1,Spectral Contrast2,Spectral Contrast3,Spectral Contrast4,Spectral Contrast5,Spectral Contrast6,Spectral Contrast7,Tonnetz1,Tonnetz2,Tonnetz3,Tonnetz4,Tonnetz5,Tonnetz6
1,Saoko,Rosalía,Spain,1357002,Traditional,Spain,Madrid,40.42,-3.75,-77.41459656,52.02815246582031,-3.623052359,26.31342887878418,-6.456990242,4.815507411956787,-0.890465736,1.26677143573761,-4.186604977,8.584629059,-4.188908577,-1.132911921,-4.31681633,-3.103135586,-6.049440384,-2.329935551,-9.885704994,0.4364224076271057,-5.408226967,-3.179271221,0.423987865447998,0.4096793234348297,0.3129310607910156,0.3942963778972626,0.3675473928451538,0.2445663064718246,0.2352212965488433,0.3119161128997803,0.5756404995918274,0.451972634,0.3388523757457733,0.3229532837867737,18.671025343659387,16.510451585655943,19.57577634269491,20.28098252185062,20.19127154826591,19.324665797656024,48.27960009715634,-0.027142259,-0.020731049,-0.021391769,0.0448104514730491,-0.007973986,-0.004324663
2,LA FAMA,Rosalía,Spain,1357002,Traditional,Spain,Madrid,40.42,-3.75,-26.36034203,58.17824172973633,-4.18885088,13.911585807800291,-0.722250044,0.5161108374595642,-6.01665926,5.692332744598389,-4.217302799,4.322868824005127,-3.451493263,4.4363789558410645,-5.191422462,5.974001884460449,2.181002378463745,0.713083029,-1.990640759,6.330035209655762,-3.996082783,2.1101346015930176,0.4338601529598236,0.4021039605140686,0.4017682075500488,0.3684335947036743,0.3280155956745147,0.3505686819553375,0.3305007219314575,0.3614421188831329,0.405555785,0.4232228100299835,0.4591061174869537,0.3521660268306732,18.669568051076315,15.057670947613088,18.89146268562385,17.86219650867606,18.651261244390103,17.866660010710614,47.97226506422649,-0.027838121,0.055647767,-0.048577943,0.023190286,-0.007011956,-0.008216475
3,Spanish Caravan,The Doors,United States,4192927,Traditional,United States,Washington D.C.,38.88,-77.0,-11.51145077,55.40576172,7.986938953399658,36.587005615234375,-11.34444332,9.968189239501951,-1.951841354,-4.305820942,0.3058381974697113,2.1267967224121094,-3.232315779,3.950433254241944,-3.368247747,1.1446523666381836,-5.466663361,0.6248050332069397,-6.899462223,1.9828710556030276,-2.757025719,-2.110400915,0.4599502384662628,0.436288833618164,0.579031765,0.3721449673175812,0.3474706411361694,0.2631751298904419,0.3023501634597778,0.3349332511425018,0.3102849721908569,0.455365926,0.4160617589950561,0.431007981,14.24068069028652,14.970791215329523,18.408391248851657,18.53144340976152,18.879457481373223,18.596964210196287,47.135589309443056,0.00787045,0.033455596,0.0160282672807971,-0.022644467,0.005322073,0.007948389
4,MALAMENTE - Cap.1: Augurio,Rosalía,Spain,1357002,Traditional,Spain,Madrid,40.42,-3.75,-101.739975,73.73022461,12.62453842163086,17.54709815979004,-0.06953717,4.388907432556152,8.368204116821289,2.4455642700195312,5.258357048034668,6.931206226348877,-8.969141006,5.546665191650391,0.087457322,6.495291233062744,1.1824719905853271,8.855435371398926,3.1220946311950684,3.557470321655273,-2.590651989,1.2232916355133057,0.3960154950618744,0.2819236218929291,0.3107227981090545,0.2458516657352447,0.2879458367824554,0.2545196413993835,0.2913367450237274,0.4277702867984772,0.4283645749092102,0.5360937118530273,0.4127348959445953,0.5115435719490051,19.79484691942624,15.071044720882702,19.460542025948246,20.178877759093467,18.79024905842702,18.390490840344544,46.15255539068744,0.099872762,0.030986364,0.005339756,0.004176128,0.012629466,0.004073318
5,Chicken Teriyaki,Rosalía,Spain,1357002,Traditional,Spain,Madrid,40.42,-3.75,-142.8602448,129.82203674316406,5.122723579406738,23.85330390930176,5.494754314422607,1.2738409042358398,0.5173848867416382,-9.360957146,-0.534024835,-1.359150171,-7.015715122,-4.015815258,-8.395233154,-1.404464483,-6.832746506,-2.431388855,-3.44559598,-1.921183348,-1.9868505,0.0213079955428838,0.3049618899822235,0.2595487534999847,0.3105222880840301,0.3665647506713867,0.2771548330783844,0.3206620216369629,0.2731744945049286,0.3759563565254211,0.3107864260673523,0.2276337295770645,0.2471632361412048,0.2316930145025253,19.26618659199707,17.584275237372108,20.32212462417831,18.75589698686965,19.06735809224892,20.326483855618516,45.01505105492981,-0.060729063,0.1273265918914676,0.053529501,0.035376726,-0.006391268,0.009834951
6,Candy,Rosalía,Spain,1357002,Traditional,Spain,Madrid,40.42,-3.75,-110.5007401,105.03070831298828,0.359329879283905,6.615268230438232,0.3863429725170135,0.8833096027374268,-0.839366496,-3.343121767,-4.12097168,1.6316570043563845,-5.728419304,-1.208213925,-1.672226906,2.618011236190796,-4.631529331,4.519011974334717,-5.168269157,-2.809345484,-1.182182431,-5.417366505,0.3461284339427948,0.2780749499797821,0.4754173457622528,0.3376164734363556,0.2806707322597503,0.3519408404827118,0.2758537232875824,0.3679907023906708,0.2645021677017212,0.4142993688583374,0.3951389491558075,0.2403952926397323,21.21570443838663,16.9489075,21.06025678656533,20.969696961939064,21.718515744691565,20.850826385389997,47.250786372700695,0.03431691,0.1430819142347063,-0.014231461,-0.060917138,-0.001422666,0.006137994
7,Betrayed,Lil Xan,Spain,0,Traditional,Spain,Madrid,40.42,-3.75,-142.8602448,129.82203674316406,5.122723579406738,23.85330390930176,5.494754314422607,1.2738409042358398,0.5173848867416382,-9.360957146,-0.534024835,-1.359150171,-7.015715122,-4.015815258,-8.395233154,-1.404464483,-6.832746506,-2.431388855,-3.44559598,-1.921183348,-1.9868505,0.0213079955428838,0.3049618899822235,0.2595487534999847,0.3105222880840301,0.3665647506713867,0.2771548330783844,0.3206620216369629,0.2731744945049286,0.3759563565254211,0.3107864260673523,0.2276337295770645,0.2471632361412048,0.2316930145025253,19.26618659199707,17.584275237372108,20.32212462417831,18.75589698686965,19.06735809224892,20.326483855618516,45.01505105492981,-0.060729063,0.1273265918914676,0.053529501,0.035376726,-0.006391268,0.009834951
8,Sunset,Caroline Polachek,Spain,0,Traditional,Spain,Madrid,40.42,-3.75,-63.14588928,74.59718322753906,-5.095650196,22.575756072998047,13.243894577026367,0.120679460465908,2.459290742874145,8.165912628173828,-3.254302263,9.358198165893556,-3.306928635,2.337301254272461,-1.190641642,-0.416200727,-6.878116131,-0.090282448,-3.175259829,4.3730340003967285,-0.176657662,1.2506483793258667,0.2713736593723297,0.3555542528629303,0.4051884412765503,0.3019737601280212,0.3258994817733764,0.3116433024406433,0.4431559443473816,0.3574301,0.3138160407543182,0.4270321130752563,0.3086748421192169,0.3389887809753418,20.347929613323043,16.734105861279843,19.46249442371296,19.630785883232942,19.954596403355097,19.34048950653787,45.43143115821948,0.083321091,-0.035478502,0.002322708,-0.046958732,0.005050659,0.0158796306145042
9,24,Lana Del Rey,United States,4384062,Traditional,United States,Washington D.C.,38.88,-77.0,-54.93180847,81.82282257080078,4.500029563903809,23.898731231689453,6.35431718826294,10.035494804382324,0.34089157,6.842716693878174,-1.953662753,7.806910037994385,-3.428207159,4.926576614379883,-1.670001388,2.0276412963867188,-3.614820242,-0.638376355,-2.180402756,3.1707804203033447,-0.436976373,2.478219509124756,0.4189070463180542,0.4671688079833984,0.404108465,0.5094173550605774,0.3704191744327545,0.4229583144187927,0.4475119709968567,0.4165490865707397,0.4635387063026428,0.3822490572929382,0.4067836403846741,0.3560047447681427,17.524992205802324,15.341118812690828,18.678352075017276,18.396142452201502,18.90938959048028,17.593508438179082,47.55031489802269,-0.113010529,-0.05816583,-0.050974706,0.02600026,0.020100154,0.00865692
10,Don't Let Me Be Misunderstood,Santa Esmeralda,France,337675,Traditional,France,Paris,48.83,2.33,-107.7719574,84.44544219970703,6.209349632263184,15.388019561767578,1.447564721107483,6.074670791625977,1.4380396604537964,2.6821837425231934,-3.246493101,8.889737129211426,-5.233302116,2.212351560592652,-5.311676025,2.716949939727783,-6.193615437,-2.436410904,-1.059658408,4.654039383,1.3626086711883545,4.894246578216553,0.358269453048706,0.2712288200855255,0.3401544392108917,0.3849563896656036,0.3202823102474212,0.4397889971733093,0.3043445944786072,0.4174491763114929,0.3228215873241424,0.2729473114013672,0.3265290260314941,0.2914246022701263,20.020403259857748,17.032903768666433,20.096189806628924,20.38216426965156,20.434636937817427,19.03209817043754,47.76072309,-0.078679942,0.1323793932027645,0.00080098,-0.003002688,-0.007016695,-0.007194185
